"Source:","C:\Users\andre\prog\MarioKart\schematics\controller.kicad_sch"
"Date:","3/11/2022 11:44:30 AM"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C4","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C5","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C6","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C7","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","D1","LED","Device:LED","Mouser:APHCM2012QBCDF01","~","","","","","",""
"","","IC1","AZ1117CD-3.3TRG1","Mouser:AZ1117CD-3.3TRG1","Mouser:AZ1117CD33TRG1","https://www.diodes.com/assets/Datasheets/AZ1117C.pdf","LDO Regulator Pos 3.3V 0.8A 3-Pin(2+Tab) TO-252 T/R","2.38","Diodes Inc.","AZ1117CD-3.3TRG1","621-AZ1117CD-3.3TRG1","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AZ1117CD-33TRG1?qs=FKu9oBikfSnei3n4%2FTBoVg%3D%3D"
"","","IC2","ESP32-SOLO-1","ESP-SOLO-1:ESP32-SOLO-1","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-solo-1_datasheet_en.pdf","WiFi Modules (802.11) SMD Module, ESP32-S0WD, 32Mbits SPI flash, UART mode,","","Espressif Systems","ESP32-SOLO-1","356-ESP32-SOLO-1","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-SOLO-1?qs=w%2Fv1CP2dgqpIFRWX9FvikA%3D%3D"
"","","J1","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","",""
"","","J2","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","",""
"","","J3","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","","","","",""
"","","Q1","SS8050-G","Mouser:SS8050-G","Mouser:SOT95P240X115-3N","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-12/229454.pdf","Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V","1.15","Comchip Technology","SS8050-G","750-SS8050-G","https://www.mouser.co.uk/ProductDetail/Comchip-Technology/SS8050-G?qs=LLUE9lz1YbcHg%252BWLMAtcrQ%3D%3D"
"","","Q2","SS8050-G","Mouser:SS8050-G","Mouser:SOT95P240X115-3N","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-12/229454.pdf","Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V","1.15","Comchip Technology","SS8050-G","750-SS8050-G","https://www.mouser.co.uk/ProductDetail/Comchip-Technology/SS8050-G?qs=LLUE9lz1YbcHg%252BWLMAtcrQ%3D%3D"
"","","R1","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R2","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R3","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R4","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R5","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R6","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R7","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R8","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R9","0","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R10","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R11","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_KXT3","~","","","","","",""
"","","SW2","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_KXT3","~","","","","","",""
"","","SW3","SW_Push_Dual","Switch:SW_Push_Dual","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","","","","","",""
"","","SW4","SW_Push_Dual","Switch:SW_Push_Dual","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","","","","","",""
"","","SW5","SW_Push_Dual","Switch:SW_Push_Dual","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","","","","","",""
"","","SW6","SW_Push_Dual","Switch:SW_Push_Dual","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","","","","","",""
"","","SW7","SW_Push_Dual","Switch:SW_Push_Dual","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","2","C1, C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"2","2","C3, C5","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"3","1","C4","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"4","2","C6, C7","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"5","1","D1","LED","Device:LED","Mouser:APHCM2012QBCDF01","~","","","","","",""
"6","1","IC1","AZ1117CD-3.3TRG1","Mouser:AZ1117CD-3.3TRG1","Mouser:AZ1117CD33TRG1","https://www.diodes.com/assets/Datasheets/AZ1117C.pdf","LDO Regulator Pos 3.3V 0.8A 3-Pin(2+Tab) TO-252 T/R","2.38","Diodes Inc.","AZ1117CD-3.3TRG1","621-AZ1117CD-3.3TRG1","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AZ1117CD-33TRG1?qs=FKu9oBikfSnei3n4%2FTBoVg%3D%3D"
"7","1","IC2","ESP32-SOLO-1","ESP-SOLO-1:ESP32-SOLO-1","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-solo-1_datasheet_en.pdf","WiFi Modules (802.11) SMD Module, ESP32-S0WD, 32Mbits SPI flash, UART mode,","","Espressif Systems","ESP32-SOLO-1","356-ESP32-SOLO-1","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-SOLO-1?qs=w%2Fv1CP2dgqpIFRWX9FvikA%3D%3D"
"8","2","J1, J2","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","",""
"9","1","J3","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","","","","",""
"10","2","Q1, Q2","SS8050-G","Mouser:SS8050-G","Mouser:SOT95P240X115-3N","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-12/229454.pdf","Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V","1.15","Comchip Technology","SS8050-G","750-SS8050-G","https://www.mouser.co.uk/ProductDetail/Comchip-Technology/SS8050-G?qs=LLUE9lz1YbcHg%252BWLMAtcrQ%3D%3D"
"11","10","R1, R2, R3, R4, R5, R6, R7, R8, R10, R11","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"12","1","R9","0","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"13","2","SW1, SW2","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_KXT3","~","","","","","",""
"14","5","SW3, SW4, SW5, SW6, SW7","SW_Push_Dual","Switch:SW_Push_Dual","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","","","","","",""
